creation_date,update_date,codigo,nombre,vigencia,familia,tipo_plan,concepto
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810403004,CERTIFICADO DE FUNCIONARIO DE EMPRESA-CONEXIONES SEGURAS WEB-SOFTWARE, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501001,SOPORTE DENTRO DE LA CIUDAD, ,SOPORTE, , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501002,SOPORTE TECNICO, ,SOPORTE, , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501003,SOPORTE FUERA DE LA CIUDAD, ,SOPORTE, , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501005,SOPORTE POR HORA ECUAPASS, ,SOPORTE, , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501006,SOPORTE DESBLOQUEO, ,SOPORTE, , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501007,VALIDACION DE IDENTIDAD POR SKYPE DENTRO DEL PAIS, ,FIRMAS ELECTRONICAS, , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501008,VALIDACION DE IDENTIDAD POR SKYPE FUERA PAIS, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501009,SOPORTE DESBLOQUEO REMOTO, ,SOPORTE, , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501010,HORA DE SOPORTE TECNICO ESPECIALIZADO, ,SOPORTE, , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501011,ACTUALIZACION DE DATOS, ,FIRMAS ELECTRONICAS, , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501012,SERVICIO HORAS DE DESARROLLO, ,SOPORTE, , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501013,DESBLOQUEO ARCHIVO, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501014,SOPORTE PLUS DENTRO DE LA CIUDAD, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501015,SOPORTE PLUS FUERA DE LA CIUDAD, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501016,COMPACT DISC, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501017,CERTIFICADO ADMINISTRABLE, ,CERTIFICADOS, , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501018,VIDEO EXPRESS, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501019,CAPACITACION, , , , 
2026-03-30 11:56:30.243494,2026-03-30 11:56:30.243494,4810501020,SERVICIO DE FIRMA ELECTRONICA, , , , 
