codigo,codigo_nombre,familia_producto,atencion,venta_dirigida,concepto_1,concepto_2,plan,vigencia
F.ON.M.T.N.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Online,Miembro de empresa,Token,Nuevo,NULL,Vigencia 1 ano
F.ON.M.T.N.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Online,Miembro de empresa,Token,Nuevo,NULL,Vigencia 2 anos
F.ON.M.T.N.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Online,Miembro de empresa,Token,Nuevo,NULL,Vigencia 3 anos
F.OF.P.T.N.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Offline,Personas Naturales,Token,Nuevo,NULL,Vigencia 1 ano
F.OF.P.T.N.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Offline,Personas Naturales,Token,Nuevo,NULL,Vigencia 2 anos
F.OF.P.T.N.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Offline,Personas Naturales,Token,Nuevo,NULL,Vigencia 3 anos
F.OF.R.T.N.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Offline,Representante Legal,Token,Nuevo,NULL,Vigencia 1 ano
F.OF.R.T.N.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Offline,Representante Legal,Token,Nuevo,NULL,Vigencia 2 anos
F.OF.R.T.N.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Offline,Representante Legal,Token,Nuevo,NULL,Vigencia 3 anos
F.OF.M.T.N.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Offline,Miembro de empresa,Token,Nuevo,NULL,Vigencia 1 ano
F.OF.M.T.N.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Offline,Miembro de empresa,Token,Nuevo,NULL,Vigencia 2 anos
F.OF.M.T.N.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Offline,Miembro de empresa,Token,Nuevo,NULL,Vigencia 3 anos
F.AG.P.T.N.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Agente movil,Personas Naturales,Token,Nuevo,NULL,Vigencia 1 ano
F.AG.P.T.N.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Agente movil,Personas Naturales,Token,Nuevo,NULL,Vigencia 2 anos
F.AG.P.T.N.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Agente movil,Personas Naturales,Token,Nuevo,NULL,Vigencia 3 anos
F.AG.R.T.N.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Agente movil,Representante Legal,Token,Nuevo,NULL,Vigencia 1 ano
F.AG.R.T.N.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Agente movil,Representante Legal,Token,Nuevo,NULL,Vigencia 2 anos
F.AG.R.T.N.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Agente movil,Representante Legal,Token,Nuevo,NULL,Vigencia 3 anos
F.AG.M.T.N.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Agente movil,Miembro de empresa,Token,Nuevo,NULL,Vigencia 1 ano
F.AG.M.T.N.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Agente movil,Miembro de empresa,Token,Nuevo,NULL,Vigencia 2 anos
F.AG.M.T.N.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Agente movil,Miembro de empresa,Token,Nuevo,NULL,Vigencia 3 anos
F.TE.P.T.N.V1.,Firmas electronicas Vigencia 1 ano,Firmas electronicas,Tercero vinculado,Personas Naturales,Token,Nuevo,NULL,Vigencia 1 ano
F.TE.P.T.N.V2.,Firmas electronicas Vigencia 2 anos,Firmas electronicas,Tercero vinculado,Personas Naturales,Token,Nuevo,NULL,Vigencia 2 anos
F.TE.P.T.N.V3.,Firmas electronicas Vigencia 3 anos,Firmas electronicas,Tercero vinculado,Personas Naturales,Token,Nuevo,NULL,Vigencia 3 anos
